,fpr,tpr,threshold,eval,k,train_split,quantile
390,0.96,0.75,0.006172975,4,3,0.1,0.25
391,0.96,1.0,0.0022392129,4,3,0.1,0.25
392,1.0,1.0,0.0019461504,4,3,0.1,0.25
393,0.0,0.0,1.9995232,5,3,0.1,0.25
394,0.04,0.0,0.99952316,5,3,0.1,0.25
395,0.12,0.0,0.98991686,5,3,0.1,0.25
396,0.12,0.125,0.98691756,5,3,0.1,0.25
397,0.16,0.125,0.97931564,5,3,0.1,0.25
398,0.16,0.25,0.9450345,5,3,0.1,0.25
399,0.2,0.25,0.82822883,5,3,0.1,0.25
400,0.2,0.625,0.53781766,5,3,0.1,0.25
401,0.8,0.625,0.11508189,5,3,0.1,0.25
402,0.8,0.75,0.10124823,5,3,0.1,0.25
403,0.92,0.75,0.01817443,5,3,0.1,0.25
404,0.92,0.875,0.00460003,5,3,0.1,0.25
405,0.96,0.875,0.003912231,5,3,0.1,0.25
406,0.96,1.0,0.0019946946,5,3,0.1,0.25
407,1.0,1.0,0.0016427548,5,3,0.1,0.25
408,0.0,0.0,1.9980837,1,4,0.1,0.05
409,0.0,1.0,0.9980837,1,4,0.1,0.05
410,1.0,1.0,0.0013076812,1,4,0.1,0.05
411,0.0,0.0,1.9997668,2,4,0.1,0.05
412,0.03125,0.0,0.99976677,2,4,0.1,0.05
413,0.03125,1.0,0.9995765,2,4,0.1,0.05
414,1.0,1.0,0.0011797441,2,4,0.1,0.05
415,0.0,0.0,1.9992111,3,4,0.1,0.05
416,0.03125,0.0,0.9992111,3,4,0.1,0.05
417,0.03125,1.0,0.9991375,3,4,0.1,0.05
418,1.0,1.0,0.002827599,3,4,0.1,0.05
419,0.0,0.0,1.9995663,4,4,0.1,0.05
420,0.03125,0.0,0.9995664,4,4,0.1,0.05
421,0.03125,1.0,0.999551,4,4,0.1,0.05
422,1.0,1.0,0.00088934414,4,4,0.1,0.05
423,0.0,0.0,1.9997478,5,4,0.1,0.05
424,0.03125,0.0,0.9997477,5,4,0.1,0.05
425,0.03125,1.0,0.9996927,5,4,0.1,0.05
426,1.0,1.0,0.0016898633,5,4,0.1,0.05
427,0.0,0.0,1.998091,1,4,0.1,0.1
428,0.03333333333333333,0.0,0.9980909,1,4,0.1,0.1
429,0.03333333333333333,0.3333333333333333,0.9980038,1,4,0.1,0.1
430,0.13333333333333333,0.3333333333333333,0.9919619,1,4,0.1,0.1
431,0.13333333333333333,0.6666666666666666,0.9908229,1,4,0.1,0.1
432,0.4666666666666667,0.6666666666666666,0.8661848,1,4,0.1,0.1
433,0.4666666666666667,1.0,0.827139,1,4,0.1,0.1
434,1.0,1.0,0.0013177044,1,4,0.1,0.1
435,0.0,0.0,1.9984393,2,4,0.1,0.1
436,0.0,0.3333333333333333,0.9984394,2,4,0.1,0.1
437,0.13333333333333333,0.3333333333333333,0.9945381,2,4,0.1,0.1
438,0.13333333333333333,0.6666666666666666,0.9901894,2,4,0.1,0.1
439,0.4666666666666667,0.6666666666666666,0.8252242,2,4,0.1,0.1
440,0.4666666666666667,1.0,0.7691927,2,4,0.1,0.1
441,1.0,1.0,0.0015709678,2,4,0.1,0.1
442,0.0,0.0,1.9989626,3,4,0.1,0.1
443,0.03333333333333333,0.0,0.99896264,3,4,0.1,0.1
444,0.03333333333333333,0.3333333333333333,0.99697006,3,4,0.1,0.1
445,0.2,0.3333333333333333,0.98991245,3,4,0.1,0.1
446,0.2,0.6666666666666666,0.984976,3,4,0.1,0.1
447,0.5,0.6666666666666666,0.79205066,3,4,0.1,0.1
448,0.5,1.0,0.7764661,3,4,0.1,0.1
449,1.0,1.0,0.0011931004,3,4,0.1,0.1
450,0.0,0.0,1.9978924,4,4,0.1,0.1
451,0.03333333333333333,0.0,0.99789244,4,4,0.1,0.1
452,0.03333333333333333,0.3333333333333333,0.99771845,4,4,0.1,0.1
453,0.13333333333333333,0.3333333333333333,0.9911376,4,4,0.1,0.1
454,0.13333333333333333,0.6666666666666666,0.9874756,4,4,0.1,0.1
