,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,Y
71,0.21379618,-0.19722342,-0.03591919,0.44854695,-0.3026297,0.5578383,0.124862954,0.18919112,-0.9050295,0.18658711,0.6721966,-0.56883085,-0.097749054,-0.10526377,-0.41172594,0.29443035,0
72,0.060639832,0.06655113,-0.5851282,0.5173919,-0.42937222,0.338916,-0.39268088,-0.33826143,-0.4301468,0.45490038,0.5101088,-0.5985602,-0.70932347,-0.0060367435,0.08028978,-0.05585195,0
73,0.438197,-0.036568437,-0.16608985,0.14224315,-0.1911672,0.08080005,-0.19878916,-0.62388146,0.5497,0.23898128,-0.4416556,-0.507541,0.8686546,-0.20093727,0.016243547,-0.08736171,1
74,-0.18373737,-0.72019005,-0.44258323,-0.48797783,0.1373087,-1.0479567,-0.45964873,-0.6231941,0.59434867,0.38109344,-0.2576116,-0.13144635,0.6717696,0.117664985,-0.22845145,0.31593585,1
75,0.16176748,-0.05072102,0.59104145,0.08002874,-0.7931912,-0.25864193,-0.12238589,0.12566954,-0.42777795,0.21527894,0.8934425,-0.1768063,0.007083446,-0.3414134,-0.8321981,-0.017769158,0
76,0.21379618,-0.19722342,-0.03591919,0.44854695,-0.3026297,0.5578383,0.124862954,0.18919112,-0.9050295,0.18658711,0.6721966,-0.56883085,-0.097749054,-0.10526377,-0.41172594,0.29443035,0
77,0.2901883,-0.15051542,0.1776551,0.24990115,-0.90101826,0.503602,-0.12846261,-0.11164038,-0.029985711,0.34865206,0.76063734,-0.9627063,-0.28873628,0.3607508,-0.13708471,-0.042258278,0
78,-0.5058911,-0.4878795,-0.20265211,-0.3285689,-0.076174974,-1.5845298,-0.38506967,-0.34812343,-0.007382706,0.66628486,0.48103413,0.30507636,0.055883482,-0.29636306,-0.37497783,-0.0051127225,0
79,-0.4405646,-1.108572,0.60478413,-0.55277014,0.64288354,-1.0872356,0.12565203,-0.8080009,-0.0061751306,0.44078362,-0.3019824,0.24428216,-0.066544786,-0.394809,0.36303282,-0.16053876,1
80,-0.9235568,-0.7064031,-0.22824663,-0.70052063,-0.07832712,-0.64134353,-0.37297186,-0.3407257,0.13596065,0.4243746,-0.10031809,0.40599957,0.24816662,0.35201058,-0.04043831,0.42276457,0
